Severity,temp_f,humidity,visibility,wind_speed
2,66.07,41,10000,3.44
3,54.86,78,10000,4.61
2,59.31,72,10000,5.01
3,58.44,71,10000,4.61
3,66.06,43,10000,3.44
3,58.08,77,10000,12.66
2,58.12,78,10000,12.66
2,60.12,73,10000,8.05
3,57.09,75,10000,4.61
3,57.09,75,10000,4.61
2,64.2,50,10000,8.05
2,57.97,79,10000,12.66
2,59.31,72,10000,5.01
3,65.55,53,10000,3.44
2,59.5,30,10000,9.95
2,56.62,72,10000,5.01
3,57.96,77,10000,12.66
2,56.35,41,10000,9.22
2,58.59,86,10000,9.22
2,58.53,75,10000,1.99
3,57.9,77,10000,12.66
2,64.47,49,10000,8.05
3,60.55,69,10000,9.22
2,53.01,78,10000,0.0
2,58.44,76,10000,12.66
3,64.56,51,10000,8.05
2,58.03,77,10000,12.66
3,59.59,73,10000,6.91
3,60.03,73,10000,8.05
2,60.37,72,10000,9.22
3,60.13,73,10000,8.05
2,57.9,78,10000,9.22
2,58.48,84,10000,16.11
3,59.11,73,10000,8.05
2,65.52,38,10000,1.01
2,60.3,73,10000,0.98
3,63.88,51,10000,8.05
2,57.97,81,10000,9.13
3,59.5,74,10000,8.05
3,60.33,70,10000,9.22
3,59.7,71,10000,9.22
2,58.59,77,10000,10.36
2,59.95,69,10000,9.22
3,59.97,73,10000,8.05
2,56.68,71,10000,8.05
3,60.78,68,10000,9.22
2,39.99,30,10000,4.61
2,60.12,73,10000,8.05
2,60.33,71,10000,9.22
3,60.3,73,10000,8.05
3,57.65,85,10000,9.22
3,60.13,73,10000,8.05
2,57.9,72,10000,5.01
2,60.69,67,10000,2.26
3,65.05,40,10000,2.17
3,60.19,69,10000,9.22
2,59.99,67,10000,12.66
3,58.41,76,10000,12.66
2,63.27,30,10000,8.05
3,58.03,77,10000,10.36
2,56.17,80,10000,4.0
2,57.92,79,10000,12.66
3,58.37,71,10000,4.61
2,57.38,76,10000,9.22
3,64.4,36,10000,3.04
2,58.1,77,10000,12.66
2,57.22,77,10000,9.22
2,48.67,77,10000,1.99
3,54.86,78,10000,4.61
3,66.63,28,10000,0.0
2,58.06,78,10000,9.22
2,57.92,77,10000,1.01
2,60.71,70,10000,9.22
2,62.38,71,10000,5.01
3,58.03,80,10000,8.1
2,58.08,78,10000,9.22
2,58.01,72,10000,8.05
2,57.24,82,10000,16.11
2,58.3,77,10000,12.66
3,59.94,73,10000,8.05
2,58.05,78,10000,12.66
2,60.12,73,10000,8.05
2,57.45,67,10000,14.97
2,52.18,81,10000,0.0
2,64.29,46,10000,6.91
3,58.68,72,10000,4.61
3,59.92,74,10000,8.05
2,58.89,79,10000,5.59
2,57.85,72,10000,6.91
2,58.82,83,10000,4.0
2,59.72,73,10000,6.91
3,50.14,28,10000,8.37
2,56.34,80,10000,5.01
3,58.37,71,10000,4.61
2,58.62,76,10000,12.66
3,59.45,72,10000,6.91
2,56.57,69,10000,9.22
2,58.64,82,10000,16.11
2,60.01,69,10000,11.5
2,55.29,73,10000,4.0
3,58.69,72,10000,4.61
2,58.21,78,10000,12.66
3,59.76,73,10000,8.05
2,57.92,77,10000,12.66
3,60.4,72,10000,8.05
2,57.9,80,10000,8.61
3,56.77,82,10000,4.61
3,60.33,70,10000,9.22
2,52.59,78,10000,0.0
2,65.03,29,10000,3.44
2,58.26,76,10000,12.66
2,60.12,73,10000,8.05
2,58.08,72,10000,4.61
3,63.82,41,10000,3.0
3,59.9,71,10000,8.05
2,59.02,76,10000,8.05
2,58.75,77,10000,3.0
2,61.66,65,10000,8.55
2,59.38,76,10000,9.22
2,58.21,78,10000,12.66
2,59.95,72,10000,0.0
2,64.35,30,10000,4.0
2,59.23,71,10000,1.99
2,60.01,69,10000,11.5
2,66.11,25,10000,10.0
2,58.03,78,10000,12.66
3,59.77,75,10000,8.05
2,66.07,37,10000,1.01
2,59.99,73,10000,8.05
