antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Medium_Visibility', 'Severity_2', 'Low_Wind'})",frozenset({'High_Temp'}),0.208,0.64,0.128,0.6153846153846154,0.9615384615384616,1.0,-0.005119999999999986,0.936,-0.04807692307692295,0.17777777777777778,-0.06837606837606833,0.4076923076923077
"frozenset({'Medium_Visibility', 'Low_Wind', 'High_Temp'})",frozenset({'Severity_2'}),0.206,0.616,0.128,0.6213592233009709,1.0087000378262516,1.0,0.0011040000000000216,1.0141538461538464,0.010862720403022882,0.18443804034582134,0.01395631067961182,0.41457571554658934
"frozenset({'Severity_2', 'Low_Wind', 'High_Temp'})",frozenset({'Medium_Visibility'}),0.128,1.0,0.128,1.0,1.0,1.0,0.0,inf,0.0,0.128,0.0,0.5640000000000001
"frozenset({'Severity_2', 'Low_Wind'})","frozenset({'Medium_Visibility', 'High_Temp'})",0.208,0.64,0.128,0.6153846153846154,0.9615384615384616,1.0,-0.005119999999999986,0.936,-0.04807692307692295,0.17777777777777778,-0.06837606837606833,0.4076923076923077
"frozenset({'Low_Wind', 'High_Temp'})","frozenset({'Medium_Visibility', 'Severity_2'})",0.206,0.616,0.128,0.6213592233009709,1.0087000378262516,1.0,0.0011040000000000216,1.0141538461538464,0.010862720403022882,0.18443804034582134,0.01395631067961182,0.41457571554658934
"frozenset({'Medium_Visibility', 'Low_Wind', 'Severity_3'})",frozenset({'High_Temp'}),0.132,0.64,0.078,0.5909090909090908,0.9232954545454544,1.0,-0.00648,0.8799999999999998,-0.08735037204788092,0.11239193083573486,-0.13636363636363663,0.3563920454545454
"frozenset({'Low_Wind', 'High_Temp', 'Severity_3'})",frozenset({'Medium_Visibility'}),0.078,1.0,0.078,1.0,1.0,1.0,0.0,inf,0.0,0.078,0.0,0.539
"frozenset({'Low_Wind', 'Severity_3'})","frozenset({'Medium_Visibility', 'High_Temp'})",0.132,0.64,0.078,0.5909090909090908,0.9232954545454544,1.0,-0.00648,0.8799999999999998,-0.08735037204788092,0.11239193083573486,-0.13636363636363663,0.3563920454545454
"frozenset({'Medium_Visibility', 'Severity_2', 'High_Temp'})",frozenset({'Medium_Wind'}),0.376,0.518,0.218,0.5797872340425532,1.1192803745995235,1.0,0.023232000000000003,1.1470379746835442,0.17078334509527174,0.3224852071005917,0.1281892822459609,0.500318327445987
"frozenset({'Medium_Visibility', 'Severity_2', 'Medium_Wind'})",frozenset({'High_Temp'}),0.3,0.64,0.218,0.7266666666666667,1.1354166666666667,1.0,0.025999999999999995,1.3170731707317074,0.17038007863695936,0.30193905817174516,0.24074074074074076,0.5336458333333334
"frozenset({'Medium_Visibility', 'High_Temp', 'Medium_Wind'})",frozenset({'Severity_2'}),0.4,0.616,0.218,0.5449999999999999,0.8847402597402596,1.0,-0.02840000000000001,0.8439560439560438,-0.17839195979899503,0.2731829573934837,-0.18489583333333348,0.44944805194805193
"frozenset({'Severity_2', 'High_Temp', 'Medium_Wind'})",frozenset({'Medium_Visibility'}),0.218,1.0,0.218,1.0,1.0,1.0,0.0,inf,0.0,0.218,0.0,0.609
"frozenset({'Severity_2', 'High_Temp'})","frozenset({'Medium_Visibility', 'Medium_Wind'})",0.376,0.518,0.218,0.5797872340425532,1.1192803745995235,1.0,0.023232000000000003,1.1470379746835442,0.17078334509527174,0.3224852071005917,0.1281892822459609,0.500318327445987
"frozenset({'Severity_2', 'Medium_Wind'})","frozenset({'Medium_Visibility', 'High_Temp'})",0.3,0.64,0.218,0.7266666666666667,1.1354166666666667,1.0,0.025999999999999995,1.3170731707317074,0.17038007863695936,0.30193905817174516,0.24074074074074076,0.5336458333333334
"frozenset({'High_Temp', 'Medium_Wind'})","frozenset({'Medium_Visibility', 'Severity_2'})",0.4,0.616,0.218,0.5449999999999999,0.8847402597402596,1.0,-0.02840000000000001,0.8439560439560438,-0.17839195979899503,0.2731829573934837,-0.18489583333333348,0.44944805194805193
"frozenset({'Medium_Visibility', 'High_Temp', 'Severity_3'})",frozenset({'Medium_Wind'}),0.264,0.518,0.182,0.6893939393939393,1.3308763308763307,1.0,0.04524799999999998,1.55180487804878,0.3377926421404681,0.3033333333333333,0.3555890858795422,0.5203726453726454
"frozenset({'Medium_Visibility', 'Severity_3', 'Medium_Wind'})",frozenset({'High_Temp'}),0.218,0.64,0.182,0.8348623853211009,1.3044724770642202,1.0,0.04247999999999999,2.1799999999999997,0.29847390461201195,0.2692307692307693,0.5412844036697247,0.5596186926605504
