Start_Lat,Start_Lng,Start_Time,Severity,lat,lon,weather_main,weather_desc,temp_f,humidity,visibility,wind_speed,rain_1h
37.719162,-122.448273,2016-11-01 10:32:11,3,37.719162,-122.448273,Clouds,scattered clouds,58.59,76,10000,8.05,0
37.318287,-121.831551,2016-06-22 11:23:11,2,37.318287,-121.831551,Clouds,scattered clouds,60.67,68,10000,9.22,0
37.785542,-122.39138,2016-08-18 01:25:36,3,37.785542,-122.39138,Clouds,scattered clouds,59.95,75,10000,8.05,0
37.303501,-122.035385,2016-04-07 19:13:54,2,37.303501,-122.035385,Clouds,scattered clouds,59.43,71,10000,8.05,0
37.429478,-121.918472,2016-04-27 12:27:45,3,37.429478,-121.918472,Clouds,scattered clouds,60.98,70,10000,9.22,0
37.701103,-122.02116399999998,2016-10-16 13:55:08,3,37.701103,-122.02116399999998,Clear,clear sky,59.23,69,10000,8.05,0
38.73175,-120.785744,2016-08-28 19:06:13,2,38.73175,-120.785744,Clear,clear sky,53.55,80,10000,0.0,0
37.893452,-121.282349,2016-08-16 07:58:17,3,37.893452,-121.282349,Clear,clear sky,58.23,84,10000,9.22,0
37.703403,-121.736855,2016-06-25 07:17:37,3,37.703403,-121.736855,Clear,clear sky,57.27,74,10000,4.61,0
38.28907,-122.490173,2016-10-15 14:32:14,2,38.28907,-122.490173,Clear,clear sky,60.8,71,10000,9.22,0
38.011936,-121.867256,2016-10-19 09:29:25,2,38.011936,-121.867256,Clear,clear sky,59.11,72,10000,0.0,0
38.76119600000001,-120.570251,2017-01-25 23:55:47,2,38.76119600000001,-120.570251,Clear,clear sky,48.09,76,10000,1.99,0
38.68777100000001,-121.343819,2016-04-06 18:01:05,2,38.68777100000001,-121.343819,Clear,clear sky,58.24,76,10000,10.36,0
37.694099,-121.675606,2016-10-13 14:41:55,2,37.694099,-121.675606,Clear,clear sky,56.01,77,10000,4.61,0
33.725821999999994,-117.803909,2016-07-18 21:56:18,3,33.725821999999994,-117.803909,Clouds,overcast clouds,66.47,47,10000,3.44,0
39.284885,-120.964943,2016-10-04 14:14:34,2,39.284885,-120.964943,Clouds,broken clouds,47.28,81,10000,2.35,0
37.799576,-122.222092,2016-05-10 12:14:39,3,37.799576,-122.222092,Clouds,scattered clouds,59.65,72,10000,8.05,0
38.544781,-121.473984,2017-01-07 04:43:02,2,38.544781,-121.473984,Clear,clear sky,58.3,77,10000,12.66,0
37.920948,-122.062195,2016-09-01 11:43:52,3,37.920948,-122.062195,Clear,clear sky,59.5,71,10000,0.0,0
38.101051,-121.30632,2016-09-30 18:28:59,2,38.101051,-121.30632,Clear,clear sky,57.96,76,10000,1.99,0
38.617699,-121.371597,2016-11-14 21:34:05,2,38.617699,-121.371597,Clear,clear sky,58.5,76,10000,12.66,0
37.315899,-121.97583,2016-05-10 10:56:41,2,37.315899,-121.97583,Clouds,scattered clouds,60.87,69,10000,9.22,0
37.527058,-122.270821,2016-09-20 10:22:09,2,37.527058,-122.270821,Clear,clear sky,59.74,74,10000,8.05,0
37.761093,-120.995758,2016-03-30 20:59:02,2,37.761093,-120.995758,Clear,clear sky,58.24,83,10000,16.11,0
37.808498,-122.366852,2016-05-27 00:07:28,3,37.808498,-122.366852,Clouds,scattered clouds,60.24,74,10000,8.05,0
36.977036,-121.905731,2017-01-18 19:00:10,2,36.977036,-121.905731,Clouds,overcast clouds,62.38,71,10000,5.01,0
36.961193,-121.86293,2016-09-22 10:19:13,2,36.961193,-121.86293,Clouds,overcast clouds,61.79,70,10000,5.01,0
37.777473,-122.236794,2016-07-08 14:19:41,3,37.777473,-122.236794,Clouds,scattered clouds,60.33,73,10000,8.05,0
38.553833,-121.474007,2016-04-06 19:58:45,2,38.553833,-121.474007,Clear,clear sky,58.26,77,10000,12.66,0
38.5368,-121.515038,2016-08-31 18:43:10,3,38.5368,-121.515038,Clear,clear sky,58.15,77,10000,12.66,0
37.804214,-122.472252,2016-06-02 13:24:36,2,37.804214,-122.472252,Clouds,scattered clouds,59.45,76,10000,7.0,0
37.824085,-122.267754,2016-08-28 22:29:05,3,37.824085,-122.267754,Clouds,scattered clouds,60.28,73,10000,8.05,0
37.51136,-121.937637,2016-09-13 19:08:23,3,37.51136,-121.937637,Clear,clear sky,60.69,71,10000,8.05,0
38.496132,-121.441521,2016-06-03 14:14:55,2,38.496132,-121.441521,Clear,clear sky,58.32,77,10000,12.66,0
33.989284999999995,-118.243286,2016-07-05 04:40:07,2,33.989284999999995,-118.243286,Smoke,smoke,64.04,50,10000,6.91,0
36.946751,-121.847122,2016-09-09 12:06:56,2,36.946751,-121.847122,Clouds,overcast clouds,61.88,70,10000,1.01,0
37.717979,-121.701424,2016-10-30 14:27:39,4,37.717979,-121.701424,Clear,clear sky,56.8,77,10000,4.61,0
38.464092,-122.726822,2016-11-22 20:08:12,2,38.464092,-122.726822,Clear,clear sky,60.31,73,10000,4.61,0
37.34547,-121.922981,2016-11-18 20:01:24,3,37.34547,-121.922981,Clouds,scattered clouds,60.62,69,10000,9.22,0
37.852909,-122.492371,2016-08-19 05:51:16,2,37.852909,-122.492371,Clouds,scattered clouds,58.37,77,10000,3.0,0
37.495384,-121.923294,2016-04-25 18:14:47,3,37.495384,-121.923294,Clear,clear sky,60.57,70,10000,8.05,0
37.349277,-122.060059,2016-04-11 23:52:23,2,37.349277,-122.060059,Clear,clear sky,59.81,72,10000,8.05,0
